Cimicifuga racemosa                                             |Black Snakeroot, Black Cohosh                                   
Claytonia megarhiza                                             |Alpine Spring-beauty                                            
Clematis hirsutissima (non vining) note:slow growing            |Sugarbowls, Vase Flower, Granny's Bonnet                        
Clematis ligusticifolia                                         |Western Virgin's Bower, Pipestems, Traveler's Joy               
Cleome lutea (annual)                                           |Golden Bee Plant                                                
Cleome serrulata (annual)                                       |Rocky Mountain Bee Plant, Stinking Clover                       
Colutea aborescens                                              |Bladder Senna                                                   
Coreopsis tinctoria (annual)                                    |Plains Coreopsis                                                
Cornus stolonifera                                              |Redosier Dogwood                                                
Cowania mexicana                                                |Cliffrose                                                       
Crataegus ambigua(NN)                                           |Russian Hawthorn                                                
Crataegus chrysocarpa                                           |Yellow Hawthorn                                                 
Crataegus Douglasii                                             |Douglas' Hawthorn                                               
Crataegus erythropoda                                           |Red-stemmed Hawthorn                                            
Crataegus Saligna                                               |Willow Hawthorn                                                 
Cryptantha virgata (biennial)                                   |Miners Candle                                                   
Cucurbita foetidissima                                          |Wild Gourd, Calabazilla, Stinking Pumpkin                       
Cupressus arizonica var. glabra                                 |Arizona Rough-barked Cypress                                    
Dalea purpurea                                                  |Purple Prairie Clover                                           
Datura meteloides (annual)                                      |Jimson Weed                                                     
Delphinium Geyeri                                               |Geyer's Larkspur                                                
Delphinium occidentale                                          |Western Larkspur                                                
Digitalis ferruginea (NN)                                       |Rusty Foxglove                                                  
Digitalis obscura (NN)                                          |Willow-leaved Foxglove                                          
Dodecatheon pulchellum                                          |Shooting Star                                                   
Dryas octopetala                                                |Mountain Avens                                                  
Echinacea angustifolia                                          |Purple Coneflower                                               
Echinocystis  lobata                                            |Wild Cucumber                                                   
Elaeagnus commutata                                             |Silverberry                                                     
Encelia farinosa                                                |Brittlebrush, Incienso                                          
Encelliopsis nudicaulis                                         |Sunray                                                          
Ephedra americana (NN)                                          |South American Jointfir                                         
Ephedra nevadensis                                              |Jointfir, Mormon Tea                                            
Ephedra viridis                                                 |Green Ephedra                                                   
Epilobium angustifolium                                         |Fireweed, Willow-herb                                           
Epilobium latifolium                                            |Dwarf Fireweed, Red Willow-herb                                 
Eragrostis trichodes                                            |Sand Lovegrass                                                  
Erigeron compositus                                             |Fern-leaf Daisy                                                 
Erigeron compositus - Purple                                    |Tufted Purple Daisy                                             
Erigeron divergens                                              |Spreading Fleabane                                              
Erigeron flagellaris                                            |Trailing Fleabane                                               
Erigeron sp.'Bald Mountain'                                     |'Bald Mountain' Fleabane                                        
Erigeron  speciosus                                             |Aspen Daisy, Showy Fleabane                                     
Erigeron vetensis                                               |La Veta Daisy                                                   
Eriogonum alatum                                                |Winged Eriogonum                                                
Eriogonum Allenii                                               |Yellow Umbrella Plant                                           
Eriogonum brevicaule (spathulatum)                              |Short-stemmed  Buckwheat                                        
Eriogonum corymbosum                                            |Umbrella Buckwheat                                              
Eriogonum effusum                                               |Prairie Baby's Breath, Bushy Buckwheat                          
Eriogonum flavum                                                |Alpine Sulphur Flower, Yellow Buckwheat                         
Eriogonum heracleoides                                          |Cow Parsnip Buckwheat                                           
Eriogonum inflatum  (annual)                                    |Desert Trumpet                                                  
Eriogonum jamesii                                               |James Buckwheat                                                 
Eriogonum Jamesii flavescens                                    |James'  Yellow Sulphur Flower                                   
Eriogonum niveum                                                |Shrubby Buckwheat, Silver Umbrella Plant                        
Eriogonum ovalifolium                                           |Cushion Buckwheat                                               
Eriogonum racemosum                                             |Redroot Buckwheat                                               
Eriogonum spaerocephalum                                        |unknown                                                         
Eriogonum umbellatum                                            |Sulphur Flower                                                  
Eriogonum u.var.subalpinum/ var.majus                           |Alpine Sulphur Flower                                           
Erysimum asperum (biennial)                                     |Western Wallflower                                              
Erythronium grandiflorum (corm)                                 |Avalanche Lily                                                  
Euphoriba corollata                                             |Tramp's Spurge, Wild Hippo                                      
Eustoma grandiflorum                                            |Prairie Gentian                                                 
Fallugia paradoxa                                               |Apache Plume                                                    
Fendlera rupicola                                               |Cliff Fendlerbush                                               
Forestiera neomexicana                                          |New Mexican Privet                                              
Fragaria virginiana var.glauca                                  |Wild Strawberry                                                 
Fragraria americana 'SangreFria'                                |Sangre Fria Wild Strawberry                                     
Frasera speciosa                                                |Giant Green Gentian                                             
