Castilleja integra|HY-CT(60-90)-CTD
Castilleja linariaefolia|HY-CT(60-90)-CTD
Cercocarpus intricatus|HY-CT(30-90)-CTD
Campsis radicans|CT(60-90)-CTD
Campanula rotundifolia|DS-NC
Cerastium arvense|HY-CTD
Cercis canadensis|CT(90-120)-CTD
Ceanothus Fendlerii|WW(72)-CT(60-90)-CTD
Ceratoides lanata, (Erotia lanata)|DS-NC
Cercocarpus ledifolius|HY-CT(60-90)-CTD
Cercocarpus montanus|HY-CT(60-90)-CTD
Celtis reticulata|WW(72)-CT(90-120)-CTD
Ceanothus velutinus|WW(72)-CT(60-90)-CTD
Chilopsis linearis|DS-CTD
Chamaebatieria millefolium|DS-LC
Chrysothamnus nauseosus albicaulis|DS-LC
Chrysothamnus nauseosus graveolens|DS-LC
Chrysothamnus nauseosus nauseosus|DS-LC
Chrysothamnus Parryi|DS-LC
Chrysothamnus viscidiflorus|DS-LC
Cimicifuga racemosa|HY-CTD
Clematis hirsutissima (non vining) note:slow growing|CT(90-120)-CTD
Clematis ligusticifolia|CT(90-120)-CTD
Cleome serrulata (annual)|HY-CT(90-120)-CTD
Cucurbita foetidissima|DS-CTD
Cowania mexicana|HY-CT(30-60)-CTD
Cornus stolonifera|WW(48)-CT(90-120)-CTD
Coreopsis tinctoria (annual)|DS-LC
Crataegus Douglasii|WW(72)-CT(90-576)-CTD
Crataegus erythropoda|WW(72)-CT(90-572)-CTD
Cryptantha virgata (biennial)|HY-CT(30-60)-CTD
Dalea purpurea|WW(48)-CT(30-60)-CTD
Dodecatheon pulchellum|CT(30-60)-NC
Echinacea angustifolia|DS-CTD
Elaeagnus commutata|WW(72)-CT(60-90)-CTD
Encelia farinosa|DS-CTD
Epilobium angustifolium|CT(60-120)-NC
Ephedra nevadensis|HY-CTD
Ephedra viridis|HY-CTD
Eriogonum alatum|HY-CTD
Erysimum asperum (biennial)|DS-LC
Eriogonum brevicaule (spathulatum)|HY-CTD
Eriogonum corymbosum|HY-CTD
Erigeron compositus|DS-LC
Eriogonum effusum|HY-CTD
Eriogonum Jamesii flavescens|HY-CTD
Eriogonum racemosum|HY-CTD
Erigeron  speciosus|DS-LC
Eragrostis trichodes|HY-CTD
Eriogonum umbellatum|HY-CTD
Euphoriba corollata|HY-CTD
Fallugia paradoxa|DS-LC
Forestiera neomexicana|CT(60-90)-CTD
Fraxinus anomola|CT(60-120)-CTD
Frasera speciosa|CT(60-90)-CTD
Gaillardia aristata|DS-CTD
Galium boreale ssp.septentrionale|HY-CT(30-60)-CTD
Gaillardia pinnatifida|DS-CTD
Geranium caespitosum|HY-CT(30-60)-CTD
Geranium viscosissimum|HY-CT(30-60)-CTD
Grayia spinosa|CT(60-90)-CTD
Grindelia squarrosa (Biennial, s.l.perenn.)|DS-LC
Gutierrezia sarothrae|DS-LC
Haplopappus acaulis|DS-LC
Haplopappus macronema|DS-LC
Haplopappus spinulosus|DS-LC
Harbouria trachypleura|HY-CT(60-90)-CTD
Heterotheca fulcrata|DS-LC
Helianthus Maximiliani|DS-LC
Heliomeris multiflora (Viguiera multiflora)|DS-LC
Helianthus pumilus|DS-LC
Heterotheca villosa|DS-LC
Holodiscus dumosus|CT(60-90)-LC
Ipomopsis aggregata (biennial)|HY-CTD
Ipomopsis candida (biennial)|HY-CTD
Iris missouriensis|HY-CT(60-120)-CTD
Jamesia americana|CT(60-90)-NC
Juniperus monosperma|CT(120-576)-CTD
Juniperus osteosperma|CT(120-576)-CTD
Linum Lewisii|DS-CTD
Liatris punctata|DS-CTD
Lonicera involucrata|CT(60-120)-CTD
Lupinus argenteus|WW(72)-CTD
Lupinus sericeus|WW(72)-CTD
Mahonia Fremontii|WW(48)-CT(90-120)-CTD
Mahonia haematocarpa|WW(48)-CT(90-120)-CTD
Macheranthera Pattersonii|DS-LC
Mentzelia decapetala|HY-CTD
Melampodium  leucanthemum|HY-CTD
Mimulus guttatus|DS-NC
Mirabilis multiflora|WW(48)-CTD
Monarda fistulosa var.menthifolia|HY-CTD
Oenothera brachycarpa|HY-CT(30-60)-CTD
Oenothera caespitosa|HY-CT(30-60)-CTD
Oenothera missouriensis (macrocarpa)|HY-CT(30-60)-CTD
Oenothera speciosa|HY-CT(30-60)-CTD
Oryzopsis hymenoides|HY-CT(30-60)-CTD
Oxytropis Lambertii|WW(72)-CTD
Oxytropis sericea|WW(72)-CTD
Penstemon alpinus|HY-CT(30-90)-CTD
Penstemon Eatonii|HY-CT(30-90)-CTD
Penstemon gracilis|HY-CT(30-90)-CTD
Penstemon grandiflorus|HY-CT(30-90)-CTD
Penstemon hirsutus|HY-CT(30-90)-CTD
Penstemon linarioides|HY-CT(30-90)-CTD
Penstemon mexicali|HY-CT(30-90)-CTD
Penstemon palmeri|HY-CT(30-90)-CTD
Penstemon pinifolius|HY-CT(30-90)-CTD
Penstemon procerus|HY-CT(30-90)-CTD
Penstemon pseudospectabilis|HY-CT(30-60)-CTD
Penstemon virens|HY-CT(30-90)-CTD
Peraphyllum ramosissimum|WW(72)-CT(60-120)-CTD
Penstemon secudiflorus|HY-CT(30-90)-CTD
Penstemon strictus|HY-CT(30-90)-CTD
Penstemon virgatus ssp.asa-grayi|HY-CT(30-90)-CTD
Physaria bellii (cultivated source)|WW(48)-CTD
Philadelphus Lewisii|CT(60-90)-CTD
Philadelphus microphyllus|CT(60-90)-CTD
Physocarpus monogynus|CT(90-120)-CTD
Phacelia sericea|CT(30-60)-CTD
Potentilla hippiana|HY-CTD
Potentilla pensylvanica|HY-CTD
Prunus pensylvanica saximontana|WW(72)-CT(120-576)-CTD
Prunus tomentosa (NN)|WW(72)-CT(90-120)-CTD
Prunus virginiana melanocarpa|WW(72)-CT(90-120)-CTD
Psilostrophe tagetina|DS-CTD
Ptelea trifoliata|WW(72)-CT(60-90)-CTD
Purshia tridentata|HY-CT(90-120)-CTD
Ratibida columnifera|DS-LC
Ratibida columnifera pulcherrima|DS-LC
Rhus aromatica|WW(72)-CT(90-120)-CTD
Potentilla fruticosa|HY-CTD
Rhus trilobata|WW(72)-CT(90-120)-CTD
Ribes aureum|HY-CT(60-120)-CTD
Ribes cereum|WW(72)-CT(60-120)-CTD
Ribes leptanthum|WW(72)-CT(90-120)-CTD
Ribes montigenum|WW(72)-CT(90-120)-CTD
Rosa Woodsii|WW(72)-CT(60-120)-CTD
Rubus deliciosus|HY-CT(60-90)-CTD
Rudbeckia hirta|DS-LC
Ruellia humilis|HY-CTD
Rubus idaeus ssp.melanolasius|HY-CT(60-90)-CTD
Rudbeckia lacinata|DS-LC
Rubus parviflorus|HY-CT(60-90)-CTD
Salvia azurea var.grandiflora|HY-CT(30-60)-CTD
Sambucus caerulea|HY-CT(60-120)-CTD
Sarcobatus vermiculatis|HY-CTD
Scutellaria Brittonii|HY-CTD
Sambucus pubens|HY-CT(60-120)-CTD
Andropogon scoparius 'Blaze' (Schizachrium s.)|DS-CTD
Senecio fendleri|DS-LC
Sedum lanceolatum|DS-NC
Senecio spartioides|DS-LC
Shepherdia argentea|WW(72)-CT(60-90)-CTD
Shepherdia rotundifolia|WW(72)-CTD
Solidego gigantea|DS-LC
Solidego altissima|DS-LC
Solidego missouriensis|DS-LC
